
First,Second,Third,Fourth,Fifth,Sixth
59,86,97,84,59,24
87,97,14,5,46,95
88,83,12,99,63,46
78,61,40,75,20,59
24,38,90,91,48,1
49,98,17,18,35,55
0,52,71,42,28,94
40,30,84,46,35,28
94,35,88,90,50,19
99,95,70,85,47,15
43,66,1,71,53,98
82,50,11,88,94,10
41,20,84,12,66,68
30,22,71,60,82,35
49,95,50,90,91,54
65,28,89,1,31,75
48,39,61,23,45,2
55,43,27,54,40,94
12,3,39,23,87,61
9,13,15,30,52,96
75,61,93,72,95,92
32,82,82,4,30,6
83,39,41,52,6,3
60,90,19,69,33,61
82,89,66,31,16,6
6,53,8,11,11,34
69,25,94,48,44,22
69,48,49,61,29,20
6,58,0,92,85,71
75,22,72,21,64,4
12,31,92,57,68,39
33,68,73,5,78,68
84,74,38,5,17,33
73,30,68,9,50,88
14,39,62,85,34,15
32,11,58,10,9,85
99,11,47,35,49,26
83,21,22,7,73,20
77,63,28,63,42,68
30,58,80,84,51,52
57,66,33,89,88,30
39,74,89,54,58,0
18,69,29,19,53,71
25,1,57,1,1,86
13,49,99,85,67,19
58,22,27,75,86,71
4,59,19,76,15,91
57,49,49,60,53,65
74,44,51,18,53,76
55,90,52,86,45,14
